Edge,Target,Month,Group,QualitativeCode,,Valence,
Bronx River,RTB,September,MW,RTB Group,,Positive,
RTB,Fun,September,MW,Fun,,,
RTB,Memes,September,MW,Fun,,,
RTB,Family,September,MW,Family,,,
RTB,Boat building,September,MW,RTB Group,,,
RTB,Sailing,September,MW,RTB Group,,,
Sailing,Callous,September,MW,Emotions,,,
RTB,Respect,September,MW,Values,,,
RTB,Environmental,September,MW,RTB Group,,,
Environmental,"""Can I borrow your cat?""",September,MW,Fun,,,
"""Can I borrow your cat?""",Water quality,September,MW,Fun,,,
Water quality,Salinity,September,MW,Water Quality,,,
Water quality,Temperature,September,MW,Water Quality,,,
Water quality,Nitrates,September,MW,Water Quality,,,
Water quality,Phosphates,September,MW,Water Quality,,,
Bronx River,Places,September,MW,Places,,Neutral,
Places,The mouth,September,MW,Places,,,
The mouth,La Guardia,September,MW,Places,,,
Places,6 train,September,MW,Places,,,
6 train,Time Square,September,MW,Places,,,
Places,Parkway,September,MW,Places,,,
Places,Shipwreck,September,MW,Places,,,
Places,Brother Islands,September,MW,Places,,,
Brother Islands,Typhoid Mary,September,MW,History,,,
Places,Hunts Point,September,MW,Places,,,
Hunts Point,Poor,September,MW,Poverty,,,
Bronx River,Happy Place,September,MW,Emotions,,Positive,
Happy place,Events,September,MW,Happy,Events,Positive,
Happy place,Friends,September,MW,Happy,Friends,Positive,
Happy place,Name,September,MW,Happy,Friends,Positive,
Happy place,Parties,September,MW,Happy,Events,Positive,
Bronx River,Low tide,September,MW,River characteristics,,Negative,
Low tide,Boots,September,MW,River characteristics,What to wear,,Specialized knowledge
Low tide,Animals,September,MW,River characteristics,Animals,,
Animals,Crabs,September,MW,Animals,,,
Animals,Wading birds,September,MW,Animals,,,
Low tide,Garbage,September,MW,River characteristics,Trash,Negative,
Low tide,Mud,September,MW,River characteristics,Mud,Negative,
Bronx River ,People,September,MW,People,,Positive,
People,The sexy student,September,MW,People,,,
People,The ratchet student,September,MW,People,,,
People,Adam Green,September,MW,People,Adam ,,
People,Adam,September,MW,People,Adam,,Bronx Notables
People,Majora Carter,September,MW,People,Majora,,
Majora Carter,Boogie Down Grind,September,MW,People,Boogie down,,
Majora Carter,Greening the Ghetto,September,MW,People,Bronx development,,
Majora Carter,Hyde HS,September,MW,People,Hyde,,
Hyde HS,Teacher Name,September,MW,School,Teachers,,
Hyde HS,Torture,September,MW,School,Bad,,
Hyde HS,Pain,September,MW,School,Bad,,
Bronx River,Job,September,MW,Money,,Positive,
Job,Experience,September,MW,Job,Skill development,Positive,
Job,Info,September,MW,Job,Skill development,Positive,
Job,Money,September,MW,Job,Money,Positive,
Job,Work,September,MW,Job,Skill development,Positive,
Bronx River,Trash,September,TTh,Trash,,,
Bronx River,Landscape,September,TTh,Places,,,
Bronx River,Rocks,September,TTh,River characteristics,,,
Bronx River,Animals,September,TTh,Animals,,,
Bronx River,Docks,September,TTh,River characteristics,,,
Bronx River,Plants,September,TTh,Plants,,,
Bronx River,Parts,September,TTh,River characteristics,,,
Bronx River,Dirty,September,TTh,Dirty,,,
Bronx River,Memories,September,TTh,Memories,,,
Trash,Random things,September,TTh,Trash,,Negative,
Trash,Bottles,September,TTh,Trash,,Negative,
Trash,Plastic bags,September,TTh,Trash,,Negative,
Random things,Shoes,September,TTh,Trash,,Negative,
Random things,Socks,September,TTh,Trash,,Negative,
Dirty,,September,TTh,Dirty,,Negative,
Parts,Mud,September,TTh,River characteristics,Physical features,Negative,
Mud,Dirty shoes,September,TTh,Physical features (mud),Dirty shoes,Negative,
Memories,Inside joke,September,TTh,Memories,,Positive,
Rocks,,September,TTh,River characteristics,Physical features,,
Parts,Water,September,TTh,River characteristics,Physical features,,
Water,Low tide,September,TTh,River characteristics,Tides,,
Water,High tide,September,TTh,River characteristics,Tides,,
Water,Rowing,September,TTh,Rowing,,,
Mud,Mudflat,September,TTh,River characteristics,Physical features,,
Docks,,September,TTh,River characteristics,Physical features,,
Plants,Trees,September,TTh,River characteristics,Plants,,
Plants,Seaweed,September,TTh,Plants,,,
Trees,Branch,September,TTh,Plants,,,
Animals,Birds,September,TTh,Animals,,,
Animals,Fish,September,TTh,Animals,,,
Animals,Crabs,September,TTh,Animals,,,
Birds,Blue heron,September,TTh,Animals,,,
Birds,Great Egret,September,TTh,Animals,,,
Birds,Cormorant,September,TTh,Animals,,,
Communities,Hunts Point,September,TTh,Communities,Nearby neighborhood,,
Communities,People,September,TTh,Communities,People,,
Communities,RTB,September,TTh,Communities,RTB,,
Communities,Soundview,September,TTh,Communities,Nearby neighborhood,,
Emotions,Anxiety,December,MW,Emotions,Anxiety,Negative,
Emotions,Scared,December,MW,Emotions,Scared,Negative,
Emotions,Judgment,December,MW,Emotions,Judgmnet,Negative,
People,Getting on nerves,December,MW,RTB,Team conflicts,Negative,
Health,Asthma,December,MW,Health,Asthma,Negative,
Health,Pollution,December,MW,Health,Pollution,Negative,
Pollution,CSO,December,MW,Pollution,CSO,Negative,
Things in the river,Nasty,December,MW,River characteristics,Nasty,Negative,
Emotions,Memories,December,MW,Emotions,Memories,Positive,
Emotions,Peace,December,MW,Emotions,Peace,Positive,
People,Find yourself,December,MW,Self-discovery,Self-discovery,Positive,
People,Learn about your place,December,MW,Self-discovery,Place discovery,Positive,
People,Family,December,MW,Family,Family,Positive,
People,Connections,December,MW,Family,Connections,Positive,
People,Memories,December,MW,Memories,Memories,Positive,
People,Community members,December,MW,Communities,Community,Positive,
Activities,Turkey chases,December,MW,Activities,Rowing games,Positive,
Activities,Hiking,December,MW,Activities,RTB Trip activity,Positive,
Activities,Weeklong,December,MW,Activities,RTB Trip activity,Positive,
People,NYC,December,MW,Places,,,
Connections,RTB,December,MW,RTB,,,
RTB,Schools,December,MW,School,,,
Pollution,Animals,December,MW,Pollution,Animals,,
Pollution,Plants,December,MW,Pollution,Plants,,
Places,Hunts point,December,MW,Places,Hunts Point,,
Places,Long Island Sound,December,MW,Places,Long Island Sound,,
Places,NYC,December,MW,Places,NYC,,
Places,Frost Valley,December,MW,Places,RTB Trip location,,
Places,Atlantic Ocean,December,MW,Places,Atlantic,,
Activities,Birdwatching,December,MW,Activities,Env. Activity,,
Activities,Cleaning the water,December,MW,Activities,Env. Activity,,
Activities,Rowing,December,MW,Activities,Rowing,,
Birdwatching,Yellow night heron,December,MW,Activities,ID,,
Things in the river,Water,December,MW,River characteristics,Physical features,,
Things in the river,Waves,December,MW,River characteristics,Physical features,,
Bronx River,Activities,December,TTh,Activities,,,
Bronx River,Animals,December,TTh,Animals,,,
Bronx River,Bronx,December,TTh,Places,,,
Bronx River,Places,December,TTh,Places,,,
