Edge,Target,Month,Group,
Bronx River,RTB,September,MW,
RTB,Fun,September,MW,
RTB,Memes,September,MW,
RTB,Family,September,MW,
RTB,Boat building,September,MW,
RTB,Sailing,September,MW,
Sailing,Callous,September,MW,
RTB,Respect,September,MW,
RTB,Environmental,September,MW,
Environmental,"""Can I borrow your cat?""",September,MW,
"""Can I borrow your cat?""",Water quality,September,MW,
Water quality,Salinity,September,MW,
Water quality,Temperature,September,MW,
Water quality,Nitrates,September,MW,
Water quality,Phosphates,September,MW,
Bronx River,Places,September,MW,
Places,The mouth,September,MW,
The mouth,La Guardia,September,MW,
Places,6 train,September,MW,
6 train,Time Square,September,MW,
Places,Parkway,September,MW,
Places,Shipwreck,September,MW,
Places,Brother Islands,September,MW,
Brother Islands,Typhoid Mary,September,MW,
Places,Hunts Point,September,MW,
Hunts Point,Poor,September,MW,
Bronx River,Happy Place,September,MW,
Happy place,Events,September,MW,
Happy place,Friends,September,MW,
Happy place,Name,September,MW,
Happy place,Parties,September,MW,
Bronx River,Low tide,September,MW,
Low tide,Boots,September,MW,
Low tide,Animals,September,MW,
Animals,Crabs,September,MW,
Animals,Wading birds,September,MW,
Low tide,Garbage,September,MW,
Low tide,Mud,September,MW,
Bronx River,People,September,MW,
People,The sexy student,September,MW,
People,The ratchet student,September,MW,
People,Adam Green,September,MW,
People,Adam,September,MW,Bronx Notables
People,Majora Carter,September,MW,
Majora Carter,Boogie Down Grind,September,MW,
Majora Carter,Greening the Ghetto,September,MW,
Majora Carter,Hyde HS,September,MW,
Hyde HS,Teacher Name,September,MW,
Hyde HS,Torture,September,MW,
Hyde HS,Pain,September,MW,
Bronx River,Job,September,MW,
Job,Experience,September,MW,
Job,Info,September,MW,
Job,Money,September,MW,
Job,Work,September,MW,
Bronx River,Trash,September,TTh,
Bronx River,Landscape,September,TTh,
Bronx River,Rocks,September,TTh,
Bronx River,Animals,September,TTh,
Bronx River,Docks,September,TTh,
Bronx River,Plants,September,TTh,
Bronx River,Parts,September,TTh,
Bronx River,Dirty,September,TTh,
Bronx River,Memories,September,TTh,
Trash,Random things,September,TTh,
Trash,Bottles,September,TTh,
Trash,Plastic bags,September,TTh,
Random things,Shoes,September,TTh,
Random things,Socks,September,TTh,
Parts,Mud,September,TTh,
Mud,Dirty shoes,September,TTh,
Memories,Inside joke,September,TTh,
Parts,Water,September,TTh,
Water,Low tide,September,TTh,
Water,High tide,September,TTh,
Water,Rowing,September,TTh,
Mud,Mudflat,September,TTh,
Plants,Trees,September,TTh,
Plants,Seaweed,September,TTh,
Trees,Branch,September,TTh,
Animals,Birds,September,TTh,
Animals,Fish,September,TTh,
Animals,Crabs,September,TTh,
Birds,Blue heron,September,TTh,
Birds,Great Egret,September,TTh,
Birds,Cormorant,September,TTh,
Bronx River,Communities,September,TTh,
Communities,Hunts Point,September,TTh,
Communities,People,September,TTh,
Communities,RTB,September,TTh,
Communities,Soundview,September,TTh,
Bronx River,Emotions,December,MW,
Emotions,Anxiety,December,MW,
Emotions,Scared,December,MW,
Emotions,Judgment,December,MW,
Emotions,Memories,December,MW,
Emotions,Peace,December,MW,
Bronx River,People,December,MW,
People,Getting on nerves,December,MW,
People,Find yourself,December,MW,
People,Learn about your place,December,MW,
People,Family,December,MW,
People,Connections,December,MW,
People,Memories,December,MW,
People,Community members,December,MW,
People,NYC,December,MW,
People,Connections,December,MW,
Connections,RTB,December,MW,
RTB,Schools,December,MW,
Schools,Places,December,MW,
Bronx River,Health,December,MW,
