Node,Code,Month,Group
Activities,Activities,December,MW
Activities,Activities,December,MW
Activities,Activities,December,MW
Activities,Activities,December,MW
Activities,Activities,December,MW
Activities,Activities,December,MW
Activities,Activities,December,TTh
Activities,Activities,December,TTh
Activities,Activities,December,TTh
Activities,Activities,December,TTh
Activities,Activities,December,TTh
Activities,Activities,December,TTh
Activities,Activities,December,TTh
Activities,Activities,December,TTh
Activities,Activities,December,TTh
Activities,Activities,December,TTh
Basketball,Activities,December,TTh
Birdwatching,Activities,December,MW
Birdwatching,Activities,December,MW
Cleaning the water,Activities,December,MW
Dice,Activities,December,TTh
Dice,Activities,December,TTh
Events,Activities,September,MW
Fishing,Activities,December,TTh
Games,Activities,December,TTh
Games,Activities,December,TTh
Hiking,Activities,December,MW
Learning,Activities,December,TTh
Lion King,Activities,December,TTh
Overnight,Activities,December,TTh
Overnight,Activities,December,TTh
Overnight,Activities,December,TTh
Overnight,Activities,December,TTh
Parties,Activities,September,MW
Rowing,Activities,December,MW
Rowing,Activities,December,TTh
Science,Activities,December,TTh
Student beat Student,Activities,December,TTh
Swimming,Activities,December,TTh
Swimming,Activities,December,TTh
Teaching,Activities,December,TTh
Teaching_Learning,Activities,December,TTh
Turkey chases,Activities,December,MW
Water quality,Activities,December,TTh
Water quality,Activities,December,TTh
Water quality,Activities,December,TTh
Water quality,Activities,December,TTh
Water quality,Activities,December,TTh
Water quality,Activities,December,TTh
Weeklong,Activities,December,TTh
Weeklong,Activities,December,MW
Weeklong,Activities,December,TTh
Animals,Animals,September,MW
Animals,Animals,September,MW
Animals,Animals,September,TTh
Animals,Animals,September,TTh
Animals,Animals,September,TTh
Animals,Animals,December,TTh
Animals,Animals,December,TTh
Animals,Animals,December,MW
Animals,Animals,September,MW
Animals,Animals,December,TTh
Birds,Animals,September,TTh
Birds,Animals,September,TTh
Birds,Animals,September,TTh
Birds,Animals,December,TTh
Birds,Animals,December,TTh
Birds,Animals,December,TTh
Birds,Animals,September,TTh
Birds,Animals,December,TTh
Blue heron,Animals,September,TTh
Cormorant,Animals,September,TTh
Cormorants,Animals,December,TTh
Crabs,Animals,September,MW
Crabs,Animals,September,TTh
Ducks,Animals,December,TTh
Egrets,Animals,December,TTh
Fish,Animals,September,TTh
Fish,Animals,December,TTh
Great Egret,Animals,September,TTh
Oysters,Animals,December,TTh
Wading birds,Animals,September,MW
Yellow night heron,Animals,December,MW
Boat,Boat,December,TTh
Boat,Boat,December,TTh
Bowline,Boat,December,TTh
Oars,Boat,December,TTh
Rowing,Boats,September,TTh
Connections,Bonds,December,MW
Bronx River,Bronx River,December,TTh
Bronx River,Bronx River,December,TTh
Bronx River,Bronx River,December,TTh
Bronx River,Bronx River,December,TTh
Bronx River,Bronx River,December,TTh
Bronx River,Bronx River,December,TTh
Bronx River,Bronx River,December,TTh
Communities,Communities,September,TTh
Communities,Communities,September,TTh
Communities,Communities,September,TTh
Communities,Communities,September,TTh
Anxiety,Emotions,December,MW
Emotions,Emotions,December,MW
Emotions,Emotions,December,MW
Emotions,Emotions,December,MW
Emotions,Emotions,December,MW
Emotions,Emotions,December,MW
Getting on nerves,Emotions,December,MW
Happy place,Emotions,September,MW
Happy place,Emotions,September,MW
Happy place,Emotions,September,MW
Happy place,Emotions,September,MW
Judgment,Emotions,December,MW
Memories,Emotions,December,MW
Pain,Emotions,September,MW
Peace,Emotions,December,MW
Scared,Emotions,December,MW
Torture,Emotions,September,MW
Grant,Environmental action,December,TTh
Greening the Ghetto,Environmental action,September,MW
Planting trees,Environmental Action,December,TTh
Planting trees,Environmental Action,December,TTh
Preservation,Environmental Action,December,TTh
Preservation,Environmental Action,December,TTh
Preservation,Environmental Action,December,TTh
Preservation,Environmental action,December,TTh
Presevation,Environmental Action,December,TTh
Family,Family,December,TTh
Family,Family,December,MW
Family,Family,December,TTh
People,Family,December,MW
Chopped cheese,Food,December,TTh
Friends,Friend,December,TTh
Friend,Friends,September,MW
Inside joke,Friends,September,TTh
John,Friends,September,MW
Memories,Friends,September,TTh
Fun,Fun,December,TTh
No purple or dark colors,Fun,December,TTh
Asthma,Health,December,MW
Health,Health,December,MW
Health,Health,December,MW
Job,Job,September,MW
Job,Job,September,MW
Job,Job,September,MW
Job,Job,September,MW
Money,Money,September,MW
YMCA,Organizations,December,TTh
YMCA,Organizations,December,TTh
YMCA,Organizations,December,TTh
YMCA,Organizations,December,TTh
Adam,People,September,MW
Adam Green,People,September,MW
Coach Will,People,December,TTh
Coach Will,People,December,TTh
Community members,People,December,MW
Connections,People,December,MW
Majora Carter,People,September,MW
Majora Carter,People,September,MW
Majora Carter,People,September,MW
Majora Carter,People,September,MW
Memories,People,December,MW
People,People,December,MW
People,People,December,MW
People,People,December,MW
People,People,December,MW
People,People,September,MW
People,People,September,MW
People,People,September,MW
People,People,September,MW
People,People,September,MW
People,People,December,TTh
People,People,December,TTh
People,People,December,TTh
People,People,December,TTh
Staff,People,December,TTh
Staff,People,December,TTh
Staff,People,December,TTh
Staff Member,People,December,TTh
Student,People,December,TTh
Teacher Name,People,September,MW
The ratchet student,People,September,MW
The sexy student,People,September,MW
Boots,Physical experience,September,MW
Dirty shoes,Physical experience,September,TTh
Stuck,Physical experience,December,TTh
Atlantic Ocean,Places ,December,MW
Boogie Down Grind,Places ,September,MW
Bronx,Places ,December,TTh
Bronx,Places ,December,TTh
Bronx,Places ,December,TTh
Bronx,Places ,December,TTh
Bronx,Places ,December,TTh
Bronx,Places ,December,TTh
Frost Valley,Places ,December,MW
Hunts point,Places ,December,MW
