Edge,Target
Bronx River,Emotions
Bronx River,People
Bronx River,Connections
Bronx River,Health
Bronx River,Places
Bronx River,Activities
Bronx River,Birdwatching
Bronx River,Things-in-water
Emotions,Anxiety
Emotions,Memories
Emotions,Peace
Emotions,Scared
Emotions,Judgment
People,Find-yourself
People,Learn about your place
People,Getting on nerves
People,Family
People,Connections
People,Memories
People,Community members
People,NYC
Connections,RTB
RTB,Schools
Health,Asthma
Health,Pollution
Pollution,CSO
Pollution,Animals
Pollution,Plants
Places,Hunts point
Places,Long Island Sound
Places,NYC
Places,Frost Valley
Places,Atlantic Ocean
Activities,Turkey chases
Activities,Hiking
Activities,Weeklong
Activities,Birdwatching
Activities,Cleaning the water
Activities,Rowing
Birdwatching,Yellow night heron
Things-in-water,Nasty
Things-in-water,Water
Things-in-water,Waves
