Source,Target,Month,Group,Student,StudentStatus,SourceCode,TargetCode,Valence,SourceID,TargetID
Bronx River,Rat,September,MW,1MW,Returner,Bronx River,Animals,Negative,1,2
Rat,Cat,September,MW,1MW,Returner,Animals,Animals,,2,355
Bronx River,LaGuardia,September,MW,2MW,New,Bronx River,Places,,1,356
Bronx River,6 Train,September,MW,2MW,New,Bronx River,Places,,1,5
6 Train,Pelham Bay Park,September,MW,2MW,New,Places,Places,,5,7
6 Train,Time Square,September,MW,2MW,New,Places,Places,,5,359
Pelham Bay Park,Mall,September,MW,2MW,New,Places,Places,,7,360
Bronx River,RTB,September,MW,2MW,New,Bronx River,RTB,,1,9
RTB,Adam Green,September,MW,2MW,New,RTB,People,,9,362
RTB,Bronx River Alliance,September,MW,2MW,New,RTB,Organizations,,9,363
Bronx River,Hunts Point,September,MW,2MW,New,Bronx River,Places,,1,12
Hunts Point,Majora Carter,September,MW,2MW,New,Places,People,,12,38
Hunts Point,Hyde,September,MW,2MW,New,Places,People,,12,39
Hunts Point,Adam Green,September,MW,2MW,New,Places,People,,12,362
Bronx River,Bronx River Parkway,September,MW,2MW,New,Bronx River,Places,,1,16
Bronx River Parkway,Jacobi Hospital,September,MW,2MW,New,Places,Organizations,,16,369
Bronx River Parkway,Brother Islands,September,MW,2MW,New,Places,Places,,16,370
Bronx River,Fishing,September,MW,3MW,Returner,Bronx River,Activities,,1,19
Fishing,Falling,September,MW,3MW,Returner,Activities,Emotions,Negative,19,372
Fishing,Wet,September,MW,3MW,Returner,Activities,Physical Experience,Negative,19,373
Fishing,Crabs,September,MW,3MW,Returner,Activities,Animals,,19,22
Crabs,?,September,MW,3MW,Returner,Animals,,,22,375
Bronx River,Park,September,MW,3MW,Returner,Bronx River,Places,,1,376
Bronx River,Fun,September,MW,3MW,Returner,Bronx River,Fun,Positive,1,25
Fun,People,September,MW,3MW,Returner,Fun,People,Positive,25,245
Bronx River,Birding,September,MW,3MW,Returner,Bronx River,Activities,,1,27
Birding,Site seeing,September,MW,3MW,Returner,Activities,Activities,Positive,27,380
Bronx River,Rowing,September,MW,3MW,Returner,Bronx River,Boats,Positive,1,29
Rowing,Kayaking,September,MW,3MW,Returner,Boats,Boats,,29,30
Kayaking,Scared,September,MW,3MW,Returner,Boats,Emotions,Negative,30,383
Kayaking,Swaying,September,MW,3MW,Returner,Boats,Physical Experience,,30,384
Bronx River,Creatures,September,MW,4MW,New,Bronx River,Animals,,1,33
