Id,Student,Source
1,1MW,Bronx River
3,2MW,Bronx River
18,3MW,Bronx River
32,4MW,Bronx River
44,5MW,Bronx River
108,6MW,Bronx River
119,7MW,Bronx River
165,8MW,Bronx River
172,9TTh,Bronx River
212,10TTh,Bronx River
227,10TTh,Plants
228,10TTh,Water
229,10TTh,Water
230,11Tth,Bronx River
231,11Tth,Bronx River
232,11Tth,Bronx River
233,11Tth,Bronx River
234,11Tth,Bronx River
235,11Tth,Bronx River
236,11Tth,Bronx River
237,11Tth,Animals
238,11Tth,Animals
239,11Tth,Bronx River
240,12TTh,Bronx River
241,12TTh,Bronx River
242,12TTh,Bronx River
243,12TTh,Bronx River
244,12TTh,Birds
245,12TTh,People
246,12TTh,Water
247,12TTh,Water
248,12TTh,Water
249,12TTh,Water
250,12TTh,Fishes
251,12TTh,Boats
252,12TTh,Plants
253,12TTh,Plants
254,12TTh,Flowers
255,12TTh,Big space
256,12TTh,Big space
257,13TTh,Bronx River
258,13TTh,Bronx River
259,13TTh,Bronx River
260,13TTh,Bronx River
261,13TTh,Bronx River
262,13TTh,Bronx River
263,13TTh,Bronx River
264,13TTh,Bronx River
265,13TTh,Bronx River
266,14TTh,Bronx River
267,14TTh,Bronx River
268,14TTh,Bronx River
269,14TTh,Bronx River
270,14TTh,Bronx River
271,14TTh,Animals
272,14TTh,Animals
273,14TTh,Animals
274,15TTh,Bronx River
275,15TTh,Bronx River
276,15TTh,Bronx River
277,15TTh,Bronx River
278,15TTh,Mud
279,16TTh,Bronx River
280,16TTh,Bronx River
281,16TTh,Bronx River
282,16TTh,Bronx River
283,16TTh,Bronx River
284,16TTh,Bronx River
285,13TTh,Bronx River
286,13TTh,Bronx River
287,13TTh,Bronx River
288,14TTh,Bronx River
289,14TTh,Bronx River
290,14TTh,Bronx River
291,14TTh,Bronx River
292,14TTh,Bronx River
293,14TTh,Bronx River
294,14TTh,Bronx River
295,14TTh,Plants
296,14TTh,Plants
297,16TTh,Bronx River
298,16TTh,Bronx River
299,16TTh,Bronx River
300,16TTh,Bronx River
301,16TTh,Bronx River
302,16TTh,Bronx River
303,16TTh,Bronx River
304,16TTh,Bronx River
305,10TTh,Bronx River
306,10TTh,Bronx River
307,10TTh,Bronx River
308,10TTh,Bronx River
309,10TTh,Bronx River
310,10TTh,Bronx River
311,10TTh,Bronx River
312,10TTh,Pollution
313,10TTh,Pollution
314,10TTh,Pollution
315,10TTh,Animals
316,10TTh,RTB
317,10TTh,RTB
318,10TTh,RTB
319,10TTh,RTB
320,10TTh,RTB
321,10TTh,RTB
322,10TTh,Plants
323,10TTh,Plants
324,10TTh,RTB 
325,10TTh,Water
326,10TTh,Water
327,10TTh,Water
328,10TTh,Creatures
329,10TTh,Creatures
330,10TTh,Creatures
331,2MW,Bronx River
332,2MW,Bronx River
333,2MW,Bronx River
334,2MW,Bronx River
335,2MW,Bronx River
336,2MW,Bronx River
337,2MW,Birds
338,2MW,Duck
339,2MW,Birds
340,2MW,Trees
341,2MW,Blossoms
342,2MW,Water
343,2MW,Blossoms
344,2MW,May
345,2MW,Water
346,2MW,Water quality
347,2MW,Water
348,2MW,Christmas tree
349,2MW,Fish
350,2MW,Fish
351,2MW,Sharks
352,2MW,Games
353,2MW,Games
354,1MW,Rat
355,1MW,Cat
356,2MW,LaGuardia
357,2MW,6 Train
358,2MW,Pelham Bay Park
359,2MW,Time Square
360,2MW,Mall
361,2MW,RTB
362,2MW,Adam Green
363,2MW,Bronx River Alliance
364,2MW,Hunts Point
365,2MW,Majora Carter
366,2MW,Hyde
367,2MW,Adam Green
368,2MW,Bronx River Parkway
369,2MW,Jacobi Hospital
370,2MW,Brother Islands
371,3MW,Fishing
372,3MW,Falling
373,3MW,Wet
374,3MW,Crabs
375,3MW,?
376,3MW,Park
377,3MW,Fun
378,3MW,People
379,3MW,Birding
380,3MW,Site seeing
381,3MW,Rowing
382,3MW,Kayaking
383,3MW,Scared
384,3MW,Swaying
385,4MW,Creatures
386,4MW,Eels
387,4MW,Fish
388,4MW,Starfish
389,4MW,Crabs
390,4MW,Majora Carter
391,4MW,Hyde
392,4MW,Pain
393,4MW,Riverside
394,4MW,Water
395,4MW,Dirty
396,4MW,Creatures dying out
397,5MW,Views
398,5MW,Music
399,5MW,In my bag
400,5MW,Happens all the time
401,5MW,Dead bodies
402,5MW,Dangerous
403,5MW,Leaving Bronx
404,5MW,College?
405,5MW,Peace Corps
