Month,Group,Student,StudentStatus,SourceCode
September,MW,1MW,Returner,Bronx River
September,MW,1MW,Returner,Animals
September,MW,2MW,New,Bronx River
September,MW,2MW,New,Bronx River
September,MW,2MW,New,Places
September,MW,2MW,New,Places
September,MW,2MW,New,Places
September,MW,2MW,New,Bronx River
September,MW,2MW,New,RTB
September,MW,2MW,New,RTB
September,MW,2MW,New,Bronx River
September,MW,2MW,New,Places
September,MW,2MW,New,Places
September,MW,2MW,New,Places
September,MW,2MW,New,Bronx River
September,MW,2MW,New,Places
September,MW,2MW,New,Places
September,MW,3MW,Returner,Bronx River
September,MW,3MW,Returner,Activities
September,MW,3MW,Returner,Activities
September,MW,3MW,Returner,Activities
September,MW,3MW,Returner,Animals
September,MW,3MW,Returner,Bronx River
September,MW,3MW,Returner,Bronx River
September,MW,3MW,Returner,Fun
September,MW,3MW,Returner,Bronx River
September,MW,3MW,Returner,Activities
September,MW,3MW,Returner,Bronx River
September,MW,3MW,Returner,Boats
September,MW,3MW,Returner,Boats
September,MW,3MW,Returner,Boats
September,MW,4MW,New,Bronx River
September,MW,4MW,New,Animals
September,MW,4MW,New,Animals
September,MW,4MW,New,Animals
September,MW,4MW,New,Animals
September,MW,4MW,New,Bronx River
September,MW,4MW,New,People
September,MW,4MW,New,Organizations
September,MW,4MW,New,People
September,MW,4MW,New,Bronx River
September,MW,4MW,New,Water
September,MW,4MW,New,Water
September,MW,5MW,New,Bronx River
September,MW,5MW,New,River characteristics
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Bronx River
September,MW,5MW,New,Death
September,MW,5MW,New,Dangerous
September,MW,5MW,New,Want to leave
September,MW,5MW,New,How to leave
September,MW,5MW,New,Bronx River
September,MW,5MW,New,Dirty
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Bronx River
September,MW,5MW,New,Community
September,MW,5MW,New,Community
September,MW,5MW,New,Activites
September,MW,5MW,New,Bronx River
September,MW,5MW,New,Animals
September,MW,5MW,New,Activities
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Food
September,MW,5MW,New,Hunger
September,MW,5MW,New,Money
September,MW,5MW,New,Money
September,MW,5MW,New,Bronx River
September,MW,5MW,New,RTB
September,MW,5MW,New,RTB
September,MW,5MW,New,School
September,MW,5MW,New,Emotions
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,RTB
September,MW,5MW,New,RTB
September,MW,5MW,New,Boats
September,MW,5MW,New,Physical experience
September,MW,5MW,New,Physical experience
September,MW,5MW,New,Bronx River
September,MW,5MW,New,Places
September,MW,5MW,New,Fun
September,MW,5MW,New,Bronx River
September,MW,5MW,New,Places
September,MW,5MW,New,Places
September,MW,5MW,New,Places
September,MW,5MW,New,Places
September,MW,5MW,New,Places
September,MW,5MW,New,Places
September,MW,5MW,New,Places
September,MW,5MW,New,Emotions
September,MW,5MW,New,RTB
September,MW,5MW,New,Animals
September,MW,5MW,New,Fun
December,MW,4MW,New,Bronx River
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
